EDA,TEMP,HR,ACC
0.295738,33.87,95.07,0.0058655343
0.294458,33.87,95.12,0.0034134272
0.295738,33.87,95.17,0.00340036
0.295738,33.87,95.22,0.0047361245
0.298299,33.89,95.27,0.005394181
0.295738,33.89,95.31,0.008176311
0.294458,33.89,95.35,0.0064421385
0.294458,33.89,95.39,0.0072079957
0.295738,33.89,95.43,0.0071752192
0.295738,33.89,95.465,0.006928866
0.295738,33.89,95.5,0.0060739825
0.294458,33.89,95.535,0.007428103
0.299579,33.89,95.57,0.004709729
0.294458,33.89,95.61,0.008237119
0.295738,33.89,95.65,0.0039255484
0.295738,33.89,95.69,0.0051315846
0.295738,33.89,95.73,0.0069293375
0.298299,33.89,95.7725,0.008434949
0.295738,33.89,95.815,0.0065935445
0.295738,33.89,95.8575,0.0065355473
0.297018,33.87,95.9,0.007438743
0.297018,33.87,95.9425,0.006969085
0.297018,33.87,95.985,0.011373802
0.298299,33.87,96.0275,0.0075285216
0.295738,33.87,96.07,0.007877167
0.295738,33.87,96.11,0.006671335
0.295738,33.87,96.15,0.005141308
0.295738,33.87,96.19,0.005985588
0.297018,33.84,96.23,0.011336717
0.297018,33.84,96.255,0.007475798
0.295738,33.84,96.28,0.0027037975
0.295738,33.84,96.305,0.00584962
0.297018,33.84,96.33,0.0027864606
0.297018,33.84,96.3525,0.008693504
0.297018,33.84,96.375,0.0049642604
0.297018,33.84,96.3975,0.009472364
0.295738,33.84,96.42,0.011042596
0.294458,33.84,96.4475,0.007309575
0.294458,33.84,96.475,0.0065915864
0.294458,33.84,96.5025,0.006006855
0.294458,33.87,96.53,0.009807717
0.294458,33.87,96.5725,0.007297752
0.293178,33.87,96.615,0.009332234
0.293178,33.87,96.6575,0.0069918376
0.293178,33.84,96.7,0.0058631897
0.294458,33.84,96.73,0.0023591348
0.295738,33.84,96.76,0.004115554
0.295738,33.84,96.79,0.003291014
0.294458,33.87,96.82,0.0043286765
0.295738,33.87,96.84,0.008266796
0.295738,33.87,96.86,0.0047896346
0.293178,33.87,96.88,0.007461233
0.294458,33.84,96.9,0.0053816624
0.295738,33.84,96.9175,0.0048211603
0.295738,33.84,96.935,0.006035105
0.297018,33.84,96.9525,0.006392778
0.297018,33.84,96.97,0.0017662353
0.297018,33.84,96.9825,0.0027336664
0.295738,33.84,96.995,0.005415246
0.297018,33.84,97.0075,0.0042534564
0.295738,33.84,97.02,0.00178801
0.298299,33.84,97.0275,0.0038572077
0.294458,33.84,97.035,0.005458072
0.294458,33.84,97.0425,0.0077395365
0.294458,33.84,97.05,0.009537433
0.294458,33.84,97.0675,0.0027465709
0.295738,33.84,97.085,0.0063950364
0.293178,33.84,97.1025,0.008485422
0.294458,33.83,97.12,0.004789229
0.297018,33.83,97.14,0.0024321945
0.297018,33.83,97.16,0.007090315
0.294458,33.83,97.18,0.0055265557
0.297018,33.84,97.2,0.0042473087
0.294458,33.84,97.22,0.005589856
0.294458,33.84,97.24,0.0039168485
0.291897,33.84,97.26,0.0040479475
0.294458,33.83,97.28,0.003331485
0.297018,33.83,97.2975,0.0072643002
0.295738,33.83,97.315,0.014964335
0.297018,33.83,97.3325,0.0075888126
0.295738,33.87,97.35,0.005659083
0.294458,33.87,97.35,0.0020298725
0.295738,33.87,97.35,0.0
0.295738,33.87,97.35,0.0022694664
0.295738,33.84,97.35,0.005363707
0.295738,33.84,97.35,0.007155044
0.295738,33.84,97.35,0.002343895
0.295738,33.84,97.35,0.008624245
0.295738,33.83,97.35,0.014645616
0.295738,33.83,97.35,0.009395467
0.295738,33.83,97.35,0.011645624
0.295738,33.83,97.35,0.0078066224
0.298299,33.84,97.35,0.0064675333
0.294458,33.84,97.345,0.0060253087
0.298299,33.84,97.34,0.011060746
0.295738,33.84,97.335,0.00479154
0.295738,33.84,97.33,0.0023500705
0.295738,33.84,97.3225,0.006478873
0.295738,33.84,97.315,0.003852797
0.295738,33.84,97.3075,0.0077365064
0.297018,33.83,97.3,0.0034246605
0.295738,33.83,97.2925,0.0059313476
0.297018,33.83,97.285,0.009030673
0.297018,33.83,97.2775,0.008753933
0.297018,33.83,97.27,0.003802863
0.295738,33.83,97.2525,0.004887039
0.297018,33.83,97.235,0.004776289
0.297018,33.83,97.2175,0.0054935697
0.298299,33.83,97.2,0.00243191
0.297018,33.83,97.1875,0.007673368
0.297018,33.83,97.175,0.009453366
0.297018,33.83,97.1625,0.008024023
0.295738,33.81,97.15,0.008097266
0.295738,33.81,97.1425,0.00634251
0.297018,33.81,97.135,0.0078059277
0.295738,33.81,97.1275,0.004666481
0.297018,33.84,97.12,0.006010082
0.295738,33.84,97.12,0.00735598
0.298299,33.84,97.12,0.006869044
0.297018,33.84,97.12,0.0058050836
